Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",132.800000,-76.900000,-90.000000,top
"C2","100u","C_Elec_6.3x7.7",147.155000,-53.700000,-90.000000,top
"C3","10u","C_0805_2012Metric",154.655000,-50.000000,180.000000,top
"C4","100n","C_0805_2012Metric",143.055000,-39.600000,-90.000000,top
"C5","470u","C_Elec_6.3x7.7",136.955000,-45.200000,0.000000,top
"C6","10u","C_0805_2012Metric",123.455000,-110.400000,180.000000,top
"C7","1nF","C_0805_2012Metric",144.655000,-74.900000,-90.000000,top
"C8","470nF","C_0805_2012Metric",144.655000,-69.800000,-90.000000,top
"C9","22pF","C_0805_2012Metric",134.955000,-52.100000,90.000000,top
"C10","22pF","C_0805_2012Metric",141.255000,-52.100000,-90.000000,top
"C11","1u","C_0805_2012Metric",133.800000,-80.400000,180.000000,top
"C12","1u","C_0805_2012Metric",155.955000,-108.812500,90.000000,top
"C13","100u","C_Elec_6.3x7.7",146.055000,-45.200000,180.000000,top
"C14","1u","C_0805_2012Metric",155.755000,-124.000000,-90.000000,top
"C101","1u","C_0805_2012Metric",147.855000,-121.100000,90.000000,top
"C102","100n","C_0805_2012Metric",145.855000,-39.500000,90.000000,top
"C103","1u","C_0805_2012Metric",127.055000,-64.500000,180.000000,top
"D1","1N4148","D_SOD-323_HandSoldering",144.855000,-105.000000,0.000000,top
"D2","1N4148","D_SOD-323_HandSoldering",159.155000,-50.100000,0.000000,top
"D14","1N4148","D_SOD-323_HandSoldering",141.955000,-86.900000,90.000000,top
"D15","1N4148","D_SOD-323_HandSoldering",158.655000,-86.760000,-90.000000,top
"Q1","BC847","SOT-23",144.855000,-102.000000,90.000000,top
"R1","100k","R_0805_2012Metric",144.855000,-109.300000,180.000000,top
"R2","47k","R_0805_2012Metric",120.967500,-59.500000,180.000000,top
"R3","10k","R_0805_2012Metric",120.967500,-57.400000,0.000000,top
"R4","100k","R_0805_2012Metric",144.855000,-107.200000,180.000000,top
"R5","1k","R_0805_2012Metric",120.930000,-61.600000,180.000000,top
"R6","47k","R_0805_2012Metric",145.450000,-121.100000,90.000000,top
"R7","4k7","R_0805_2012Metric",160.020000,-108.825000,90.000000,top
"R8","4k7","R_0805_2012Metric",158.025000,-108.825000,90.000000,top
"R9","4k7","R_0805_2012Metric",160.050000,-124.000000,-90.000000,top
"R10","4k7","R_0805_2012Metric",158.005000,-124.000000,-90.000000,top
"R11","100k","R_0805_2012Metric",153.905084,-108.835661,-90.000000,top
"R12","100k","R_0805_2012Metric",152.355000,-121.062500,-90.000000,top
"R13","47k","R_0805_2012Metric",150.255000,-121.075000,-90.000000,top
"R101","4k7","R_0805_2012Metric",124.355000,-88.500000,-90.000000,top
"R102","4k7","R_0805_2012Metric",122.255000,-88.600000,90.000000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",126.855000,-60.100000,0.000000,top
"U2","LM386","SOIC-8_3.9x4.9mm_P1.27mm",154.455000,-53.900000,0.000000,top
"U5","TDA1308","SOIC-8_3.9x4.9mm_P1.27mm",157.555000,-116.600000,90.000000,top
"U6","L7805","SOT-223-3_TabPin2",127.955000,-105.700000,0.000000,top
"U9","SI4732","SOIC-16_4.55x10.3mm_P1.27mm",138.155000,-59.600000,0.000000,top
"Y2","32.768k","Crystal_SMD_3225-4Pin_3.2x2.5mm",138.155000,-52.100000,0.000000,top
