"Reference","Qty","Value","Footprint","Datasheet"
"A1","1","Arduino_Nano_Every","Module:Arduino_Nano","https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf"
"C1,C11,C12,C14,C101,C103","6","1u","Capacitor_SMD:C_0805_2012Metric",""
"C2,C13","2","100u","Capacitor_SMD:C_Elec_6.3x7.7",""
"C3,C6","2","10u","Capacitor_SMD:C_0805_2012Metric",""
"C4,C102","2","100n","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","470u","Capacitor_SMD:C_Elec_6.3x7.7",""
"C7","1","1nF","Capacitor_SMD:C_0805_2012Metric",""
"C8","1","470nF","Capacitor_SMD:C_0805_2012Metric",""
"C9,C10","2","22pF","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2,D14,D15","4","1N4148","Diode_SMD:D_SOD-323_HandSoldering",""
"J1","1","Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"J2","1","AudioJack3","Library:StereoTRS",""
"J4","1","Conn_Coaxial","Library:RS218-4243",""
"J6","1","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J7","1","Conn_01x04_Pin","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J9,J10,J13,J15","4","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J17","1","AudioJack2","Library:MonoTRS",""
"J103","1","Screw_Terminal_01x02","TerminalBlock_RND:TerminalBlock_RND_205-00287_1x02_P5.08mm_Horizontal",""
"Q1","1","BC847","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R1,R4,R11,R12","4","100k","Resistor_SMD:R_0805_2012Metric",""
"R2,R6,R13","3","47k","Resistor_SMD:R_0805_2012Metric",""
"R3","1","10k","Resistor_SMD:R_0805_2012Metric",""
"R5","1","1k","Resistor_SMD:R_0805_2012Metric",""
"R7,R8,R9,R10,R101,R102","6","4k7","Resistor_SMD:R_0805_2012Metric",""
"RV2","1","100k","Potentiometer_THT:Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical",""
"SW1,SW2,SW3,SW4,SW5,SW6","6","SW_Push","Library:PushButton",""
"SW7","1","SW_SPDT","Library:Switch",""
"SW8","1","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"U1","1","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2","1","LM386","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm386.pdf"
"U5","1","TDA1308","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.nxp.com/docs/en/data-sheet/TDA1308.pdf"
"U6","1","L7805","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U9","1","SI4732","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm",""
"Y2","1","32.768k","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
