"Reference","Qty","Value","Footprint","Datasheet"
"A1","1","Arduino_Nano_Every","Module:Arduino_Nano","https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf"
"C1,C5,C11,C12,C13,C14,C101","7","1u","Capacitor_SMD:C_1206_3216Metric","~"
"C2,C4","2","optional","Capacitor_SMD:C_1206_3216Metric","~"
"C3,C6","2","10u","Capacitor_SMD:C_1206_3216Metric","~"
"C7","1","1nF","Capacitor_SMD:C_1206_3216Metric","~"
"C8","1","470nF","Capacitor_SMD:C_1206_3216Metric","~"
"C9,C10","2","22pF","Capacitor_SMD:C_0603_1608Metric","~"
"D2,D14,D15","3","D","Diode_SMD:D_SOD-323_HandSoldering","~"
"J1","1","Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J6","1","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J9,J10,J13","3","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J102,J104","2","Conn_01x12_Pin","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
"J103","1","Screw_Terminal_01x02","TerminalBlock_RND:TerminalBlock_RND_205-00287_1x02_P5.08mm_Horizontal","~"
"R2,R6,R13","3","47k","Resistor_SMD:R_1206_3216Metric","~"
"R3","1","10k","Resistor_SMD:R_1206_3216Metric","~"
"R5","1","1k","Resistor_SMD:R_1206_3216Metric","~"
"R7,R8,R9,R10","4","4k7","Resistor_SMD:R_1206_3216Metric","~"
"R11,R12","2","100k","Resistor_SMD:R_1206_3216Metric","~"
"U1","1","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2","1","LM386","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm386.pdf"
"U3","1","LM1117DT-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U5","1","TDA1308","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.nxp.com/docs/en/data-sheet/TDA1308.pdf"
"U6","1","L7805","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U9","1","SI4732","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm",""
"Y2","1","Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
