Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_1206_3216Metric",188.300000,-99.950000,0.000000,top
"C2","optional","C_1206_3216Metric",172.575000,-128.135000,0.000000,top
"C3","10u","C_1206_3216Metric",179.025000,-131.450000,0.000000,top
"C4","optional","C_1206_3216Metric",172.625000,-122.935000,0.000000,top
"C5","1u","C_1206_3216Metric",172.625000,-125.535000,0.000000,top
"C6","10u","C_1206_3216Metric",187.100000,-80.725000,90.000000,top
"C7","1nF","C_1206_3216Metric",172.625000,-106.320000,180.000000,top
"C8","470nF","C_1206_3216Metric",172.625000,-108.820000,180.000000,top
"C9","22pF","C_0603_1608Metric",176.980000,-96.875000,90.000000,top
"C10","22pF","C_0603_1608Metric",183.780000,-96.725000,-90.000000,top
"C11","1u","C_1206_3216Metric",173.275000,-99.920000,180.000000,top
"C12","1u","C_1206_3216Metric",185.975000,-112.950000,0.000000,top
"C13","1u","C_1206_3216Metric",194.825000,-104.850000,180.000000,top
"C14","1u","C_1206_3216Metric",172.587500,-113.850000,0.000000,top
"C101","10u","C_1206_3216Metric",181.800000,-121.525000,90.000000,top
"D2","D","D_SOD-323_HandSoldering",202.650000,-68.350000,0.000000,top
"D14","D","D_SOD-323_HandSoldering",191.200000,-62.060000,-90.000000,top
"D15","D","D_SOD-323_HandSoldering",173.300000,-62.060000,90.000000,top
"R2","47k","R_1206_3216Metric",194.710000,-116.937500,90.000000,top
"R3","10k","R_1206_3216Metric",197.110000,-116.962500,-90.000000,top
"R5","1k","R_1206_3216Metric",192.240000,-116.912500,-90.000000,top
"R6","47k","R_1206_3216Metric",177.050000,-121.525000,-90.000000,top
"R7","4k7","R_1206_3216Metric",185.987500,-117.850000,0.000000,top
"R8","4k7","R_1206_3216Metric",185.987500,-120.250000,180.000000,top
"R9","4k7","R_1206_3216Metric",172.562500,-111.450000,180.000000,top
"R10","4k7","R_1206_3216Metric",172.600000,-116.350000,0.000000,top
"R11","100k","R_1206_3216Metric",185.987500,-115.450000,0.000000,top
"R12","100k","R_1206_3216Metric",172.587500,-118.850000,180.000000,top
"R13","47k","R_1206_3216Metric",179.450000,-121.525000,-90.000000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",194.800000,-110.850000,90.000000,top
"U2","LM386","SOIC-8_3.9x4.9mm_P1.27mm",179.175000,-127.455000,180.000000,top
"U3","LM1117DT-3.3","SOT-223-3_TabPin2",195.350000,-99.850000,0.000000,top
"U5","TDA1308","SOIC-8_3.9x4.9mm_P1.27mm",179.275000,-116.215000,0.000000,top
"U6","L7805","SOT-223-3_TabPin2",193.250000,-79.650000,0.000000,top
"U9","SI4732","SOIC-16_4.55x10.3mm_P1.27mm",180.350000,-104.385000,0.000000,top
"Y2","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",180.400000,-96.770000,0.000000,top
